Well1_Depth,Well1_RHOB,Well2_Depth,Well2_RHOB,Well3_Depth,Well3_RHOB
2989.0212,1.9537,3124.962,1.9793,2934.0048,2.1631
2989.1736,1.9718,3125.1144,1.9757,2934.1572,2.1115
2989.326,1.9913,3125.2668,1.9697,2934.3096,2.0781
2989.4784,1.9928,3125.4192,1.9788,2934.462,2.0715
2989.6308,1.9796,3125.5716,2.021,2934.6144,2.0773
2989.7832,1.965,3125.724,2.1272,2934.7668,2.1001
2989.9356,1.9568,3125.8764,2.3037,2934.9192,2.1001
2990.088,1.9505,3126.0288,2.3503,2935.0716,2.0968
2990.2404,1.9507,3126.1812,2.2269,2935.224,2.141
2990.3928,1.9548,3126.3336,2.0551,2935.3764,2.2298
2990.5452,1.9555,3126.486,1.873,2935.5288,2.2961
2990.6976,1.9537,3126.6384,1.8525,2935.6812,2.2887
2990.85,1.9443,3126.7908,1.9043,2935.8336,2.2124
2991.0024,1.9421,3126.9432,1.9543,2935.986,2.1147
2991.1548,1.9433,3127.0956,2.0788,2936.1384,2.0764
2991.3072,1.9481,3127.248,2.1366,2936.2908,2.0545
2991.4596,1.9518,3127.4004,2.226,2936.4432,2.053
2991.612,1.9539,3127.5528,2.316,2936.5956,2.0891
2991.7644,1.9586,3127.7052,2.288,2936.748,2.1294
2991.9168,1.9674,3127.8576,2.169,2936.9004,2.1675
2992.0692,1.9793,3128.01,2.1335,2937.0528,2.1343
2992.2216,1.9783,3128.1624,2.1187,2937.2052,2.0749
2992.374,1.9685,3128.3148,2.1014,2937.3576,2.0597
2992.5264,1.9539,3128.4672,2.0858,2937.51,2.0679
2992.6788,1.9512,3128.6196,2.0664,2937.6624,2.1105
2992.8312,1.9715,3128.772,2.0453,2937.8148,2.1259
2992.9836,2.0042,3128.9244,2.0305,2937.9672,2.1035
2993.136,2.0143,3129.0768,2.0318,2938.1196,2.0853
2993.2884,1.9904,3129.2292,2.0512,2938.272,2.0998
2993.4408,1.9628,3129.3816,2.0798,2938.4244,2.1062
2993.5932,1.9453,3129.534,2.1052,2938.5768,2.1368
2993.7456,1.946,3129.6864,2.0816,2938.7292,2.1787
2993.898,1.9573,3129.8388,2.0404,2938.8816,2.1834
2994.0504,1.9668,3129.9912,2.0061,2939.034,2.1472
2994.2028,1.9723,3130.1436,1.9818,2939.1864,2.123
2994.3552,1.9828,3130.296,1.9647,2939.3388,2.1171
