f,2dsth,2dstp,2dsts,3dst,WT
0,0.509143845,1.099548237,0.558892319,0.273454042,-0.025991953
0.5,0.502960034,1.056419974,0.547360678,0.276752056,-0.024162987
1,0.496776222,1.013291712,0.535829037,0.280050069,-0.02233402
1.5,0.49059241,0.970163449,0.524297396,0.283348083,-0.020505053
2,0.484408599,0.927035187,0.512765755,0.286646096,-0.018676086
2.5,0.478224787,0.883906925,0.501234114,0.28994411,-0.01684712
3,0.472040975,0.840778662,0.489702473,0.293242124,-0.015018153
3.5,0.465857164,0.7976504,0.478170832,0.296540137,-0.013189186
4,0.459673352,0.754522137,0.466639191,0.299838151,-0.011360219
4.5,0.453489541,0.711393875,0.45510755,0.303136164,-0.009531253
5,0.447305729,0.668265612,0.443575909,0.306434178,-0.007702286
5.5,0.441121917,0.62513735,0.432044268,0.309732191,-0.005873319
6,0.434938106,0.582009087,0.420512627,0.306467498,-0.004044352
6.5,0.428754294,0.594809203,0.408980986,0.300442233,-0.002215385
7,0.422570482,0.660308624,0.39480052,0.294416968,-0.000386419
7.5,0.416386671,0.725808045,0.375139172,0.288391703,0.001442548
8,0.410202859,0.791307466,0.355477825,0.282366439,0.003271515
8.5,0.404019047,0.856806887,0.335816478,0.276341174,0.005100482
9,0.397835236,0.922306308,0.31615513,0.270315909,0.006929448
9.5,0.38424629,0.987805729,0.296493783,0.264290644,0.008758415
10,0.365060559,1.05330515,0.276832436,0.258265379,0.010587382
10.5,0.345874827,1.118804571,0.257171088,0.252240115,0.012416349
11,0.326689095,1.184303992,0.237509741,0.24621485,0.014245315
11.5,0.307503363,1.249803413,0.217848394,0.240189585,0.016074282
12,0.288317632,1.315302834,0.198187046,0.23416432,0.017903249
12.5,0.2691319,1.380802255,0.178525699,0.228139056,0.019732216
13,0.249946168,1.375443262,0.158864352,0.222113791,0.021561182
13.5,0.230760437,1.278116249,0.139203004,0.216088526,0.023390149
14,0.211574705,1.180789236,0.119541657,0.210063261,0.025219116
14.5,0.192388973,1.083462223,0.09988031,0.204037996,0.027048083
15,0.173203241,0.98613521,0.080218962,0.198012732,0.028877049
15.5,0.15401751,0.888808197,0.060557615,0.199523283,0.030706016
16,0.134831778,0.791481184,0.040896268,0.20459719,0.032534983
16.5,0.115646046,0.694154171,0.03340716,0.209671096,0.03436395
17,0.096460314,0.596827158,0.054210204,0.214745003,0.036192917
17.5,0.077274583,0.499500145,0.075013248,0.219818909,0.038021883
18,0.058088851,0.402173132,0.095816292,0.224892815,0.03985085
18.5,0.038903119,0.304846119,0.116619336,0.229966722,0.041679817
19,0.039836922,0.207519106,0.13742238,0.235040628,0.043508784
19.5,0.057595621,0.175546509,0.158225424,0.240114534,0.04533775
20,0.07535432,0.26203343,0.179028468,0.241528725,0.047166717
20.5,0.09311302,0.348520351,0.199831513,0.224615704,0.048995684
21,0.110871719,0.435007272,0.220634557,0.207702682,0.050824651
21.5,0.128630418,0.521494193,0.241437601,0.190789661,0.052653617
22,0.146389117,0.607981113,0.262240645,0.17387664,0.054482584
22.5,0.164147816,0.694468034,0.283043689,0.156963618,0.056311551
23,0.181906515,0.780954955,0.303846733,0.140050597,0.058140518
23.5,0.199665215,0.867441876,0.324649777,0.123137576,0.059969484
24,0.217423914,0.953928797,0.345452821,0.106224554,0.061798451
24.5,0.235182613,1.040415718,0.366255866,0.089311533,0.063627418
25,0.252941312,1.126902639,0.38705891,0.072398512,0.065456385
25.5,0.270700011,1.21338956,0.407861954,0.07313777,0.067285352
26,0.288458711,1.244291712,0.428664998,0.094194506,0.069114318
26.5,0.305495462,1.129283167,0.449468042,0.115251241,0.070943285
27,0.314938569,1.014274622,0.470271086,0.136307977,0.072772252
27.5,0.324381677,0.899266077,0.49107413,0.157364713,0.074601219
28,0.333824785,0.784257532,0.511877174,0.178421449,0.076430185
28.5,0.343267893,0.669248987,0.51896996,0.199478185,0.078259152
29,0.352711001,0.554240442,0.513388683,0.220534921,0.080088119
29.5,0.362154109,0.439231898,0.507807407,0.241591657,0.081917086
30,0.371597217,0.324223353,0.502226131,0.262648393,0.083746052
30.5,0.381040325,0.209214808,0.496644855,0.283705129,0.085575019
31,0.390483432,0.094206263,0.491063579,0.304761865,0.087403986
31.5,0.39992654,0.111542726,0.485482302,0.312996888,0.089232953
32,0.409369648,0.226973871,0.479901026,0.311728405,0.091061919
32.5,0.418812756,0.342405016,0.47431975,0.310459921,0.092890886
33,0.428255864,0.457836162,0.468738474,0.309191437,0.094719853
33.5,0.437698972,0.573267307,0.463157198,0.307922953,0.09654882
34,0.44714208,0.688698452,0.457575922,0.306654469,0.098377786
34.5,0.456585187,0.804129597,0.459228601,0.305385985,0.100206753
35,0.466028295,0.919560743,0.465148165,0.304117502,0.10203572
35.5,0.475471403,1.034991888,0.471067729,0.302849018,0.103864687
36,0.484914511,1.13636862,0.476987293,0.302111959,0.105811545
36.5,0.494357619,1.024425129,0.482906857,0.309440952,0.109547787
37,0.503800727,0.912481637,0.488826421,0.316769945,0.113284028
37.5,0.497651858,0.800538145,0.494745985,0.324098938,0.117020269
38,0.484290566,0.688594654,0.49110476,0.331427931,0.12075651
38.5,0.470929274,0.576651162,0.477695141,0.338756924,0.124492751
39,0.457567982,0.46470767,0.464285521,0.346085917,0.128228993
39.5,0.44420669,0.352764179,0.450875901,0.353414911,0.131965234
40,0.430845398,0.240820687,0.437466281,0.360743904,0.135701475
40.5,0.417484106,0.128877195,0.424056661,0.368072897,0.139437716
41,0.404122814,0.142541701,0.410647041,0.37540189,0.143173957
41.5,0.390761522,0.25924133,0.397237422,0.377976922,0.146910199
42,0.37740023,0.37594096,0.383827802,0.372110207,0.15064644
42.5,0.364038938,0.492640589,0.370418182,0.366243492,0.154382681
43,0.350677646,0.609340218,0.357008562,0.360376777,0.158118922
43.5,0.337316354,0.726039847,0.343598942,0.354510063,0.161855163
44,0.323955062,0.842739477,0.330189322,0.348643348,0.165591405
44.5,0.31059377,0.959439106,0.316779702,0.342776633,0.169327646
45,0.297232478,1.076138735,0.303370083,0.336909919,0.173063887
45.5,0.283871186,1.185754987,0.289960463,0.331043204,0.176800128
46,0.270509894,1.110280778,0.276550843,0.325176489,0.180536369
46.5,0.257148602,1.034806569,0.263141223,0.319309774,0.18427261
47,0.24378731,0.95933236,0.249731603,0.31344306,0.188008852
47.5,0.230426018,0.883858151,0.236321983,0.307576345,0.191745093
48,0.217064726,0.808383942,0.222912364,0.30170963,0.195481334
48.5,0.203703434,0.732909733,0.209502744,0.295842915,0.199217575
49,0.190342142,0.657435524,0.196093124,0.289976201,0.202953816
49.5,0.17698085,0.581961315,0.182683504,0.284109486,0.206690058
50,0.163619558,0.506487106,0.169273884,0.278242771,0.210426299
50.5,0.150258266,0.525018288,0.155864264,0.272376056,0.21416254
51,0.136896974,0.628821954,0.142454644,0.265013074,0.217898781
51.5,0.123535682,0.732625621,0.129045025,0.254684062,0.221635022
52,0.11017439,0.836429288,0.115635405,0.244355049,0.225371264
52.5,0.096813098,0.940232955,0.102225785,0.234026037,0.229107505
53,0.083451806,1.044036621,0.088816165,0.223697024,0.232843746
53.5,0.070090514,1.147840288,0.075406545,0.213368012,0.236579987
54,0.056729222,1.251643955,0.061996925,0.203038999,0.240316228
54.5,0.04336793,1.355447622,0.05656348,0.192709987,0.24405247
55,0.030164769,1.459251288,0.082846334,0.182380975,0.247788711
55.5,0.030084232,1.563054955,0.109129188,0.172051962,0.251524952
56,0.030003695,1.666858622,0.135412042,0.16172295,0.255261193
56.5,0.029923158,1.770662289,0.161694897,0.151393937,0.258997434
57,0.029842621,1.874465955,0.187977751,0.141064925,0.262733676
57.5,0.029762084,1.904716937,0.214260605,0.130735912,0.266469917
58,0.029681547,1.720787111,0.24054346,0.1204069,0.270206158
58.5,0.02960101,1.536857286,0.266826314,0.110077887,0.273942399
59,0.029520473,1.352927461,0.293109168,0.099748875,0.27767864
59.5,0.029439936,1.168997635,0.319392022,0.109879528,0.281414881
60,0.029359399,0.98506781,0.345674877,0.129269144,0.285151123
60.5,0.029278862,0.801137985,0.371957731,0.14865876,0.288887364
61,0.029198326,0.617208159,0.398240585,0.168048376,0.292623605
61.5,0.029117789,0.433278334,0.424523439,0.187437992,0.296359846
62,0.029037252,0.249348508,0.450806294,0.206827608,0.300096087
62.5,0.028956715,0.293364997,0.477089148,0.226217223,0.303832329
63,0.028876178,0.416153171,0.503372002,0.245606839,0.30756857
63.5,0.028795641,0.538941344,0.529654857,0.264996455,0.311304811
64,0.028715104,0.661729518,0.555937711,0.284386071,0.315041052
64.5,0.028634567,0.784517691,0.582220565,0.303775687,0.318777293
65,0.02855403,0.907305864,0.608503419,0.323165303,0.322513535
65.5,0.028473493,1.030094038,0.634786274,0.342554919,0.326249776
66,0.028392956,1.152882211,0.661069128,0.361944535,0.329986017
66.5,0.028312419,1.275670384,0.687351982,0.381334151,0.333722258
67,0.028231882,1.398458558,0.713634836,0.400723766,0.337458499
67.5,0.028151345,1.521246731,0.739917691,0.418965805,0.341194741
68,0.028070808,1.644034905,0.766200545,0.410791174,0.344930982
68.5,0.027990271,1.603528605,0.792483399,0.402616543,0.348667223
69,0.027909734,1.534777066,0.818766253,0.394441911,0.353108035
69.5,0.027829197,1.466025528,0.823934731,0.38626728,0.357906187
70,0.02774866,1.397273989,0.805714812,0.378092649,0.362704339
70.5,0.027668123,1.32852245,0.787494894,0.369918018,0.367502492
71,0.027587586,1.259770912,0.769274976,0.361743386,0.372300644
71.5,0.027507049,1.191019373,0.751055057,0.353568755,0.377098796
72,0.027426512,1.122267835,0.732835139,0.345394124,0.381896948
72.5,0.027345975,1.053516296,0.714615221,0.337219493,0.3866951
73,0.027265438,0.984764757,0.696395302,0.335707464,0.391493253
73.5,0.027184901,0.916013219,0.678175384,0.347123718,0.396291405
74,0.027104365,0.84726168,0.659955465,0.358539973,0.401089557
74.5,0.027023828,0.926573919,0.641735547,0.369956227,0.405887709
75,0.026943291,1.011743251,0.623515629,0.381372482,0.410685861
75.5,0.026862754,1.096912583,0.60529571,0.392788737,0.415484014
76,0.026782217,1.182081914,0.584938602,0.404204991,0.420282166
76.5,0.02670168,1.267251246,0.561304861,0.415621246,0.425080318
77,0.026621143,1.352420577,0.537671121,0.4270375,0.42987847
77.5,0.026540606,1.437589909,0.51403738,0.438453755,0.434676623
78,0.026460069,1.52275924,0.490403639,0.449870009,0.439474775
78.5,0.026379532,1.506860573,0.466769898,0.461286264,0.444272927
79,0.026298995,1.433750297,0.443136157,0.458221745,0.449071079
79.5,0.026218458,1.360640022,0.419502416,0.437418689,0.453869231
80,0.026137921,1.287529747,0.395868675,0.416615634,0.458667384
80.5,0.026057384,1.214419472,0.372234934,0.395812578,0.463465536
81,0.025976847,1.141309196,0.348601193,0.375009522,0.468263688
81.5,0.02589631,1.068198921,0.324967452,0.354206467,0.47306184
82,0.025815773,0.995088646,0.301333712,0.333403411,0.477859992
82.5,0.025735236,0.921978371,0.277699971,0.312600355,0.482658145
83,0.025654699,0.848868095,0.25406623,0.291797299,0.487456297
83.5,0.025574162,0.77575782,0.230432489,0.270994244,0.492254449
84,0.025493625,0.702647545,0.206798748,0.250191188,0.497052601
84.5,0.025413088,0.62953727,0.183165007,0.229388132,0.501850753
85,0.025332551,0.623277878,0.159531266,0.223519154,0.506648906
85.5,0.025252014,0.669788674,0.135897525,0.229438711,0.511447058
86,0.025171477,0.71629947,0.112263784,0.235358269,0.51624521
86.5,0.02509094,0.762810266,0.088630044,0.241277826,0.521043362
87,0.025010404,0.809321061,0.064996303,0.247197384,0.525841514
87.5,0.024929867,0.855831857,0.086802768,0.253116941,0.530639667
88,0.02484933,0.902342653,0.119783102,0.259036499,0.535437819
88.5,0.024768793,0.906592736,0.152763435,0.264956057,0.540235971
